mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_clf__fit_prior,param_clf__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
7.473035526275635,0.49247513026798767,0.8889041423797608,0.13500305585099648,"(1, 2)",5,0.95,True,0.001,"{'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 5, 'tfidf__max_df': 0.95, 'clf__fit_prior': True, 'clf__alpha': np.float64(0.001)}",0.9980651206245723,0.9975276551047176,0.9976167956706231,0.9972024030799745,0.99832568114027,0.9977475311240316,0.00039943017892865606,1
7.271176290512085,0.20003981140469318,0.8157549858093261,0.060817343785523156,"(1, 2)",5,0.9,True,0.0020805675382171715,"{'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 5, 'tfidf__max_df': 0.9, 'clf__fit_prior': True, 'clf__alpha': np.float64(0.0020805675382171715)}",0.9980418090802056,0.9975374742916676,0.9975919363989997,0.9971710529261197,0.9983176668291713,0.9977319879052328,0.0004027671742980624,2
7.131875991821289,0.1525874382349848,0.8017642974853516,0.035044276542256315,"(1, 2)",3,0.9,False,0.0020805675382171715,"{'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 3, 'tfidf__max_df': 0.9, 'clf__fit_prior': False, 'clf__alpha': np.float64(0.0020805675382171715)}",0.9980436751976923,0.9975286500832814,0.9975925569430187,0.9971668695412759,0.9983279018476537,0.9977319307225845,0.0004080216678178701,3
8.649401140213012,1.7870547618419517,1.0572743892669678,0.2998613483499344,"(1, 2)",5,0.9,True,0.004328761281083057,"{'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 5, 'tfidf__max_df': 0.9, 'clf__fit_prior': True, 'clf__alpha': np.float64(0.004328761281083057)}",0.9980215518400761,0.9975527805642529,0.9975606847298061,0.997128632507534,0.9983108260514031,0.9977148951386144,0.0004105941654176459,4
2.4568106651306154,0.1116310265935595,0.5307038307189942,0.013462887765384877,"(1, 1)",10,0.98,False,0.0020805675382171715,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 10, 'tfidf__max_df': 0.98, 'clf__fit_prior': False, 'clf__alpha': np.float64(0.0020805675382171715)}",0.9981566113614376,0.9976862688104767,0.9975098951932031,0.9969961958594903,0.998151155545746,0.9977000253540707,0.0004344430710619618,5
2.6476725578308105,0.29535101816043224,0.565575122833252,0.040461123997338075,"(1, 1)",3,0.9,True,0.004328761281083057,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 3, 'tfidf__max_df': 0.9, 'clf__fit_prior': True, 'clf__alpha': np.float64(0.004328761281083057)}",0.9981360580059974,0.9976769066647699,0.9975015213876085,0.9969850486137112,0.9981564012598362,0.9976911871863846,0.00043569322065429515,6
2.2945440292358397,0.045191576178090116,0.5101599216461181,0.03712082239862641,"(1, 1)",3,0.98,False,0.001,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 3, 'tfidf__max_df': 0.98, 'clf__fit_prior': False, 'clf__alpha': np.float64(0.001)}",0.9981785901735925,0.9976128942565448,0.9975274588755895,0.9969863438402634,0.9981480224384378,0.9976906619168856,0.0004418143558345451,7
2.2918988704681396,0.0257835683819464,0.4988506317138672,0.013559827814287622,"(1, 1)",10,0.95,True,0.01873817422860384,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 10, 'tfidf__max_df': 0.95, 'clf__fit_prior': True, 'clf__alpha': np.float64(0.01873817422860384)}",0.9980930533231029,0.9977637404790916,0.9974475247220804,0.996958163293766,0.9981492161358506,0.9976823395907782,0.0004411020096515053,8
2.309625482559204,0.13712822595250124,0.5401758670806884,0.09619424210971296,"(1, 1)",10,0.9,True,0.01873817422860384,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 10, 'tfidf__max_df': 0.9, 'clf__fit_prior': True, 'clf__alpha': np.float64(0.01873817422860384)}",0.9980930533231029,0.9977637404790916,0.9974475247220804,0.996958163293766,0.9981492161358506,0.9976823395907782,0.0004411020096515053,8
7.691011428833008,0.31129858376973096,0.909580135345459,0.09091522533093274,"(1, 2)",10,0.95,False,0.01873817422860384,"{'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 10, 'tfidf__max_df': 0.95, 'clf__fit_prior': False, 'clf__alpha': np.float64(0.01873817422860384)}",0.9979532861570013,0.997569322354781,0.9974663506815886,0.9970391716952767,0.998292814872496,0.9976641891522288,0.0004283769287830578,10
7.75304160118103,0.3428053400843888,0.8700831413269043,0.032780734601702305,"(1, 2)",5,0.95,True,0.01873817422860384,"{'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 5, 'tfidf__max_df': 0.95, 'clf__fit_prior': True, 'clf__alpha': np.float64(0.01873817422860384)}",0.9979548396799369,0.9975637733000535,0.9974643776805402,0.9970406084004529,0.998269846154028,0.9976586890430023,0.00042190231064779,11
11.545466327667237,0.5201102982878955,1.3748877048492432,0.13646525564388992,"(1, 2)",3,0.98,True,0.01873817422860384,"{'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 3, 'tfidf__max_df': 0.98, 'clf__fit_prior': True, 'clf__alpha': np.float64(0.01873817422860384)}",0.9979569002986415,0.9975524245824339,0.9974644305818958,0.9970369313615745,0.9982813758072167,0.9976584125263525,0.0004271485635504909,12
2.372701644897461,0.10457373874321672,0.5383864879608155,0.006949179068055181,"(1, 1)",3,0.9,True,0.038986037025490715,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 3, 'tfidf__max_df': 0.9, 'clf__fit_prior': True, 'clf__alpha': np.float64(0.038986037025490715)}",0.9980583248551602,0.9977595560819631,0.9974115475086792,0.9969094458277923,0.9981365041425719,0.9976550756832333,0.0004517896109842025,13
3.8961777687072754,0.1772769319791994,0.8568543434143067,0.06296059798998033,"(1, 1)",10,0.98,False,0.08111308307896872,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 10, 'tfidf__max_df': 0.98, 'clf__fit_prior': False, 'clf__alpha': np.float64(0.08111308307896872)}",0.9980229098821817,0.9978002023901779,0.9973653036361271,0.99687829756308,0.9981195972581327,0.99763726214594,0.0004599803320165111,14
7.4593463897705075,0.25991676077429765,0.8539189338684082,0.054951141131453926,"(1, 2)",5,0.98,True,0.038986037025490715,"{'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 5, 'tfidf__max_df': 0.98, 'clf__fit_prior': True, 'clf__alpha': np.float64(0.038986037025490715)}",0.9979113995685941,0.9975651280297413,0.9973981955507225,0.9969841419981792,0.9982441697686462,0.9976206069831767,0.00043151438257482233,15
7.535552930831909,0.19811241692876735,0.8561159610748291,0.023439743316591512,"(1, 2)",3,0.9,False,0.038986037025490715,"{'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 3, 'tfidf__max_df': 0.9, 'clf__fit_prior': False, 'clf__alpha': np.float64(0.038986037025490715)}",0.9979124075153857,0.9975497994063787,0.9973987705893486,0.9969793005583909,0.9982547711126432,0.9976190098364295,0.0004365313203748289,16
3.3679410457611083,0.5306764433393093,0.7632369518280029,0.11755900904051467,"(1, 1)",10,0.95,False,0.1687612475788147,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 10, 'tfidf__max_df': 0.95, 'clf__fit_prior': False, 'clf__alpha': np.float64(0.1687612475788147)}",0.9979676249337895,0.9978052657428602,0.9973083989274225,0.9968292633142705,0.9980891611872695,0.9975999428211224,0.00046810831912651033,17
2.2671610832214357,0.1016703912232825,0.4862679004669189,0.01068504404010798,"(1, 1)",10,0.98,False,0.1687612475788147,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 10, 'tfidf__max_df': 0.98, 'clf__fit_prior': False, 'clf__alpha': np.float64(0.1687612475788147)}",0.9979676249337895,0.9978052657428602,0.9973083989274225,0.9968292633142705,0.9980891611872695,0.9975999428211224,0.00046810831912651033,17
7.216611337661743,0.2685337478726922,0.8046664237976074,0.046836233434613656,"(1, 2)",5,0.95,True,0.08111308307896872,"{'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 5, 'tfidf__max_df': 0.95, 'clf__fit_prior': True, 'clf__alpha': np.float64(0.08111308307896872)}",0.9978571717382136,0.9975497126330378,0.9973298910627867,0.9969055268318898,0.9982065885507182,0.9975697781633291,0.0004443648982993464,19
3.718563938140869,0.20811318049483085,0.7830009460449219,0.09501822228856989,"(1, 1)",3,0.98,False,0.3511191734215131,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 3, 'tfidf__max_df': 0.98, 'clf__fit_prior': False, 'clf__alpha': np.float64(0.3511191734215131)}",0.9978886097693667,0.9977697014276575,0.9972284237566941,0.9967334985308499,0.9980367672876747,0.9975314001544486,0.00048336815031314493,20
